,STAID,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN-2009,CLASS,AGGECOREGION
7533,11059300.0,SANTA ANA R A E ST NR SAN BERNARDINO CA,946.0,18,34.065013,-117.300321,CA,,Non-ref,WestXeric
7534,11060400.0,WARM C NR SAN BERNARDINO CA,30.9,18,34.078346,-117.300321,CA,,Non-ref,WestXeric
7535,11062000.0,LYTLE C NR FONTANA CA,119.7,18,34.21223,-117.458105,CA,,Non-ref,WestXeric
7536,11062001.0,LYTLE+BRLNE+COND+INF - W27 CA,119.7,18,34.21223,-117.458105,CA,,Non-ref,WestXeric
7537,11063000.0,CAJON C NR KEENBROOK CA,105.6,18,34.26695,-117.46005,CA,,Non-ref,WestXeric
7538,11063500.0,LONE PINE C NR KEENBROOK CA,39.4,18,34.266395,-117.463939,CA,,Non-ref,WestXeric
7539,11063510.0,CAJON C BL LONE PINE C NR KEENBROOK CA,144.5,18,34.263339,-117.466994,CA,,Non-ref,WestXeric
7540,11063680.0,DEVIL CYN C NR SAN BERNARDINO CA,14.4,18,34.208341,-117.331434,CA,,Non-ref,WestXeric
7541,11065000.0,"Lytle Creek at Colton, CA",364.7,18,34.078901,-117.305599,CA,,Non-ref,WestXeric
7542,11066460.0,SANTA ANA R A MWD CROSSING CA,2136.1,18,33.968626,-117.44838100000001,CA,,Non-ref,WestXeric
7543,11066500.0,SANTA ANA R A RIVERSIDE NAROWS NR ARLINGTON CA,2392.9,18,33.964737,-117.466159,CA,,Non-ref,WestXeric
7544,11067000.0,DAY C NR ETIWANDA CA,12.0,18,34.185008,-117.539774,CA,,Non-ref,WestXeric
7545,11069500.0,SAN JACINTO R NR SAN JACINTO,367.6,18,33.738076,-116.83391,CA,,Non-ref,WestXeric
7546,11070000.0,BAUTISTA C NR HEMET CA,112.5,18,33.694466999999996,-116.85085500000001,CA,,Non-ref,WestXeric
7547,11070210.0,SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA,1069.2,18,33.83974,-117.13587,CA,,Non-ref,WestXeric
7548,11070365.0,SAN JACINTO R NR SUN CITY CA,1461.9,18,33.746131,-117.231703,CA,,Non-ref,WestXeric
7549,11070375.0,SAN JACINTO R A RR CYN WEIR NR ELSINORE CA,1469.0,18,33.736131,-117.25309299999999,CA,,Non-ref,WestXeric
7550,11070465.0,SALT C A MURRIETA RD NR SUN CITY CA,274.2,18,33.694188,-117.20558999999999,CA,,Non-ref,WestXeric
7551,11070500.0,SAN JACINTO R NR ELSINORE CA,1879.1,18,33.664189,-117.293927,CA,,Non-ref,WestXeric
7552,11072100.0,TEMESCAL C AB MAIN ST A CORONA CA,2520.4,18,33.889182,-117.562827,CA,,Non-ref,WestXeric
7553,11073000.0,SAN ANTONIO C NR CLAREMONT CA,43.0,18,34.215562,-117.668667,CA,,Non-ref,WestXeric
7554,11073001.0,SAN ANTONIO C NR CLAREMONT + CN CA,43.0,18,34.216117,-117.668667,CA,,Ref,WestXeric
7555,11073300.0,SAN ANTONIO C A RIVERSIDE DRIVE NR CHINO CA,83.6,18,34.018623,-117.73061200000001,CA,,Non-ref,WestXeric
7556,11073360.0,CHINO C A SCHAEFER AVENUE NR CHINO CA,132.3,18,34.003901,-117.727001,CA,,Non-ref,WestXeric
7557,11073470.0,CUCAMONGA C NR UPLAND CA,26.2,18,34.179452000000005,-117.62894299999999,CA,,Ref,WestXeric
7558,11073495.0,CUCAMONGA C NR MIRA LOMA CA,208.2,18,33.982791,-117.599497,CA,,Non-ref,WestXeric
7559,11074000.0,SANTA ANA R BL PRADO DAM CA,3726.5,18,33.883349,-117.64533,CA,,Non-ref,WestXeric
7560,11075720.0,CARBON C BL CARBON CYN DAM CA,50.4,18,33.913346999999995,-117.84255800000001,CA,,Non-ref,WestXeric
7561,11075800.0,SANTIAGO C A MODJESKA CA,34.8,18,33.712796999999995,-117.64505,CA,,Non-ref,WestXeric
7562,11077500.0,SANTIAGO C A SANTA ANA CA,240.8,18,33.770295000000004,-117.884501,CA,,Non-ref,WestXeric
