,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf,Dryest Day
59898,1980-08-28,11274500,37.315492,-121.125208,0.0,240
59899,1980-08-29,11274500,37.315492,-121.125208,0.0,241
59900,1980-08-30,11274500,37.315492,-121.125208,0.0,242
59901,1980-08-31,11274500,37.315492,-121.125208,0.0,243
59902,1980-09-01,11274500,37.315492,-121.125208,0.0,244
59903,1980-09-02,11274500,37.315492,-121.125208,0.0,245
59904,1980-09-03,11274500,37.315492,-121.125208,0.0,246
59905,1980-09-04,11274500,37.315492,-121.125208,0.0,247
59906,1980-09-05,11274500,37.315492,-121.125208,0.0,248
59907,1980-09-06,11274500,37.315492,-121.125208,0.0,249
59908,1980-09-07,11274500,37.315492,-121.125208,0.0,250
59909,1980-09-08,11274500,37.315492,-121.125208,0.0,251
59910,1980-09-09,11274500,37.315492,-121.125208,0.0,252
59911,1980-09-10,11274500,37.315492,-121.125208,0.0,253
59912,1980-09-11,11274500,37.315492,-121.125208,0.0,254
59913,1980-09-12,11274500,37.315492,-121.125208,0.0,255
59914,1980-09-13,11274500,37.315492,-121.125208,0.0,256
59915,1980-09-14,11274500,37.315492,-121.125208,0.0,257
59916,1980-09-15,11274500,37.315492,-121.125208,0.0,258
59917,1980-09-16,11274500,37.315492,-121.125208,0.0,259
59918,1980-09-17,11274500,37.315492,-121.125208,0.0,260
59919,1980-09-18,11274500,37.315492,-121.125208,0.0,261
59920,1980-09-19,11274500,37.315492,-121.125208,0.0,262
59921,1980-09-20,11274500,37.315492,-121.125208,0.0,263
59922,1980-09-21,11274500,37.315492,-121.125208,0.0,264
59923,1980-09-22,11274500,37.315492,-121.125208,0.0,265
59924,1980-09-23,11274500,37.315492,-121.125208,0.0,266
59925,1980-09-24,11274500,37.315492,-121.125208,0.0,267
59926,1980-09-25,11274500,37.315492,-121.125208,0.0,268
59927,1980-09-26,11274500,37.315492,-121.125208,0.0,269
59928,1980-09-27,11274500,37.315492,-121.125208,0.0,270
59929,1980-09-28,11274500,37.315492,-121.125208,0.0,271
59930,1980-09-29,11274500,37.315492,-121.125208,0.0,272
59931,1980-09-30,11274500,37.315492,-121.125208,0.0,273
59932,1980-10-01,11274500,37.315492,-121.125208,0.0,274
59933,1980-10-02,11274500,37.315492,-121.125208,0.0,275
59934,1980-10-03,11274500,37.315492,-121.125208,0.0,276
59935,1980-10-04,11274500,37.315492,-121.125208,0.0,277
59936,1980-10-05,11274500,37.315492,-121.125208,0.0,278
59937,1980-10-06,11274500,37.315492,-121.125208,0.0,279
59938,1980-10-07,11274500,37.315492,-121.125208,0.0,280
59939,1980-10-08,11274500,37.315492,-121.125208,0.0,281
59940,1980-10-09,11274500,37.315492,-121.125208,0.0,282
59941,1980-10-10,11274500,37.315492,-121.125208,0.0,283
59942,1980-10-11,11274500,37.315492,-121.125208,0.0,284
59943,1980-10-12,11274500,37.315492,-121.125208,0.0,285
59944,1980-10-13,11274500,37.315492,-121.125208,0.0,286
59948,1980-10-17,11274500,37.315492,-121.125208,0.0,290
59949,1980-10-18,11274500,37.315492,-121.125208,0.0,291
59950,1980-10-19,11274500,37.315492,-121.125208,0.0,292
59951,1980-10-20,11274500,37.315492,-121.125208,0.0,293
59952,1980-10-21,11274500,37.315492,-121.125208,0.0,294
59953,1980-10-22,11274500,37.315492,-121.125208,0.0,295
59954,1980-10-23,11274500,37.315492,-121.125208,0.0,296
59955,1980-10-24,11274500,37.315492,-121.125208,0.0,297
59956,1980-10-25,11274500,37.315492,-121.125208,0.0,298
59957,1980-10-26,11274500,37.315492,-121.125208,0.0,299
59958,1980-10-27,11274500,37.315492,-121.125208,0.0,300
59959,1980-10-28,11274500,37.315492,-121.125208,0.0,301
59960,1980-10-29,11274500,37.315492,-121.125208,0.0,302
59961,1980-10-30,11274500,37.315492,-121.125208,0.0,303
59962,1980-10-31,11274500,37.315492,-121.125208,0.0,304
