,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf
99817,09 22,11456000,38.511297,-122.455813,0.38138888888888894
100185,09 24,11458000,38.368246,-122.303309,1.2412195121951217
100564,10 07,11459500,38.107698,-122.579981,0.18804878048780485
100930,10 07,11460400,38.026867,-122.736377,7.179189189189189
101265,09 06,11460600,38.0802,-122.78443500000002,6.868500000000002
101625,08 31,11460750,38.175753,-122.818325,4.89861111111111
101997,09 06,11461000,39.195447,-123.195005,0.4422499999999999
102355,08 29,11461500,39.246556,-123.130281,89.70500000000001
102753,09 30,11462500,39.026563,-123.130559,177.05853658536586
103120,10 01,11463000,38.879348,-123.05361200000002,175.40243902439025
103461,09 06,11463170,38.797683,-122.802493,0.9648717948717945
103834,09 13,11464000,38.613243,-122.836382,155.965
104226,10 09,11465200,38.698521,-122.958054,80.71926829268293
104568,09 15,11467000,38.508523,-122.927774,150.885
104933,09 14,11468000,39.172123,-123.669458,5.718000000000001
105314,09 29,11468500,39.428224,-123.737792,5.116585365853659
105665,09 14,11469000,40.313191,-124.283659,30.985000000000003
106017,08 31,11470500,39.407939,-122.97139,131.7948717948718
106345,07 24,11471500,39.388496,-123.116116,13.266666666666666
106758,09 09,11473900,39.706267,-123.325291,12.3205
107129,09 14,11475000,40.2182,-123.63253,35.29975
107504,09 23,11475560,39.7296,-123.643907,0.8268292682926829
107861,09 14,11475800,39.874596,-123.720578,19.095757575757574
108220,09 07,11476500,40.18181,-123.776143,36.464999999999996
108592,09 13,11476600,40.35125,-124.003931,1.257179487179487
108955,09 10,11477000,40.491524,-124.09977,98.57249999999998
109324,09 13,11478500,40.480416,-123.890876,9.223000000000003
109701,09 24,11480390,40.284313,-123.335303,0.17717948717948717
109982,07 01,11480410,40.370978,-123.436141,48.65526315789473
110415,09 06,11481000,40.909572,-124.060896,40.28999999999999
110788,09 13,11481200,41.010959,-124.081733,5.491750000000001
111154,09 13,11481500,40.905965,-123.815335,4.375555555555556
111520,09 13,11482500,41.29929,-124.051182,18.28425
111833,07 22,11516530,41.927919,-122.44418799999998,838.025
112216,08 08,11517500,41.822918,-122.595581,32.2375
112603,08 29,11519500,41.64069,-123.015037,26.840250000000005
112940,07 31,11520500,41.853738,-123.232273,1113.475
113349,09 12,11521500,41.835123,-123.383111,43.50499999999999
113716,09 13,11522500,41.377627,-123.477558,182.2
114063,08 25,11523000,41.30346,-123.534504,1730.9
114447,09 12,11523200,41.111257,-122.705579,37.372499999999995
114865,11 03,11525500,40.719312,-122.803634,307.475
